id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
E_RP_L001_Q001,1,The Clever Fox,What did the fox find?,Apple,Fish,Bread,Cheese,Cheese,MCQ,,P001,
E_RP_L001_Q002,1,The Clever Fox,Where was the cheese?,In a basket,On the ground,On a tree,In a house,On a tree,MCQ,,P001,
E_RP_L001_Q003,1,The Clever Fox,Why did the crow sing?,It was happy,fox praised it,It was hungry,It saw food,fox praised it,MCQ,,P001,
E_RP_L002_Q004,2,Lost Puppy Max,Why did Max wander away from his home?,to play,to find food,to go to school,chasing a butterfly,chasing a butterfly,MCQ,,P002,
E_RP_L002_Q005,2,Lost Puppy Max,What did the kind girl give Max?,Some food,A toy,Some water,A blanket,Some water,MCQ,,P002,
E_RP_L002_Q006,2,Lost Puppy Max,How did Max's owner find him?,phone call,neighbor,returned by himself,police officer,phone call,MCQ,,P002,
E_RP_L003_Q007,3,The Solar System,How many planets are in our solar system?,Six,Eight,Nine,Ten,Eight,MCQ,,P003,
E_RP_L003_Q008,3,The Solar System,Which planet is closest to the Sun?,Earth,Mars,Neptune,Mercury,Mercury,MCQ,,P003,
E_RP_L003_Q009,3,The Solar System,Which planet is known to support life?,Venus,Earth,Jupiter,Saturn,Earth,MCQ,,P003,
E_RP_L003_Q010,3,The Solar System,What do planets travel around the Sun in?,Paths called orbits,Rings,Clouds,Spaceships,Paths called orbits,MCQ,,P003,
E_RP_L003_Q011,3,The Solar System,What do scientists use to learn about the solar system?,Planes and trains,Books and maps,Telescopes and spacecraft,Only computers,Telescopes and spacecraft,MCQ,,P003,
E_RP_L004_Q012,4,Wright Brothers,Who made the first successful powered airplane flight?,Wright brothers,Thomas Edison,Alexander Graham Bell,Isaac Newton,Wright brothers,MCQ,,P004,
E_RP_L004_Q013,4,Wright Brothers,In which year did the Wright brothers make their first successful flight?,1899,1903,1910,1920,1903,MCQ,,P004,
E_RP_L004_Q014,4,Wright Brothers,The first flight happened in the USA.,Yes,No,,,Yes,MCQ,,P004,
E_RP_L004_Q015,4,Wright Brothers,How long did the first flight last?,Short time,Many hours,One day,,Short time,MCQ,,P004,
E_RP_L004_Q016,4,Wright Brothers,What changed forever?,Transportation,Weather,Farming,Buildings,Transportation,MCQ,,P004,
E_RP_L005_Q017,5,Saving Water,Which of these is NOT mentioned as a use of water?,Drinking,Cooking,Farming,Playing football,Playing football,MCQ,,P005,
E_RP_L005_Q018,5,Saving Water,Why should we save water?,Limited,Expensive,Essential,Pollution,Limited,MCQ,,P005,
E_RP_L005_Q019,5,Saving Water,Which action saves water?,Turn tap off,Fix leaks,Collect rain,All above,All above,MCQ,,P005,
E_RP_L005_Q020,5,Saving Water,Who benefits from saving water?,Children,Future,Animals,Farmers,Future,MCQ,,P005,
E_RP_L006_Q021,6,A Rainy Day,What did Mia wear?,Raincoat,Scarf,Hat,Gloves,Raincoat,MCQ,,P006,
E_RP_L006_Q022,6,A Rainy Day,What did Mia jump into?,Puddles,River,Sand,Leaves,Puddles,MCQ,,P006,
E_RP_L006_Q023,6,A Rainy Day,What moved along the road?,Umbrellas,Cars,Birds,Bikes,Umbrellas,MCQ,,P006,
E_RP_L006_Q024,6,A Rainy Day,What appeared after the rain?,Rainbow,Moon,Stars,Clouds,Rainbow,MCQ,,P006,
E_RP_L006_Q025,6,A Rainy Day,What color was the rainbow?,Bright,Black,Gray,Brown,Bright,MCQ,,P006,
E_RP_L006_Q026,6,A Rainy Day,How did Mia feel?,Happy,Sad,Angry,Scared,Happy,MCQ,,P006,
E_RP_L007_Q027,7,My School Garden,What did Ben's class plant?,Trees,Flowers and vegetables,Grass,Fruit,Flowers and vegetables,MCQ,,P007,
E_RP_L007_Q028,7,My School Garden,What did the children give the plants?,Milk,Juice,Water,Sand,Water,MCQ,,P007,
E_RP_L007_Q029,7,My School Garden,Which insects visited the garden?,Ants,Butterflies and bees,Spiders,Flies,Butterflies and bees,MCQ,,P007,
E_RP_L007_Q030,7,My School Garden,Ben felt proud because he helped the plants grow.,TRUE,FALSE,,,TRUE,MCQ,,P007,
E_RP_L007_Q031,7,My School Garden,The children watered the _____ every morning.,rocks,plants,animals,swimming pool,plants,MCQ,,P007,
E_RP_L008_Q032,8,The Friendly Firefighter,Who visited Emma's school?,Doctor,Firefighter,Teacher,Farmer,Firefighter,MCQ,,P008,
E_RP_L008_Q033,8,The Friendly Firefighter,What did the firefighter show the children?,School bus,Fire truck,Train,Bicycle,Fire truck,MCQ,,P008,
E_RP_L008_Q034,8,The Friendly Firefighter,What should children do if there is a fire?,Run away,Hide,Call for help,Play,Call for help,MCQ,,P008,
E_RP_L008_Q035,8,The Friendly Firefighter,The firefighter wore a special helmet.,TRUE,FALSE,,,TRUE,MCQ,,P008,
E_RP_L008_Q036,8,The Friendly Firefighter,Firefighters help keep everyone _____.,healthy,hungry,safe,,safe,MCQ,,P008,
E_RP_L009_Q037,9,The Little Seed,Who planted the seed?,Emma,Lily,Tom,Ben,Lily,MCQ,,P009,
E_RP_L009_Q038,9,The Little Seed,Where did Lily put the pot?,Near a sunny window,Under the bed,In the garden,In a box,Near a sunny window,MCQ,,P009,
