Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_ENG_L001_Q001,1,Vocabulary : Beginner,Choose the synonym of happy.,Glad,Tired,Angry,Sad,Glad,Balloon,,
F_ENG_L001_Q002,1,Vocabulary : Beginner,Choose the synonym of big.,Short,Tiny,Large,Little,Large,Balloon,,
F_ENG_L001_Q003,1,Vocabulary : Beginner,Choose the synonym of quick.,Late,Fast,Heavy,Slow,Fast,Balloon,,
F_ENG_L001_Q004,1,Vocabulary : Beginner,Choose the synonym of begin.,Start,Close,Stop,End,Start,Balloon,,
F_ENG_L001_Q005,1,Vocabulary : Beginner,Choose the synonym of smart.,Lazy,Weak,Clever,Dull,Clever,Balloon,,
F_ENG_L001_Q006,1,Vocabulary : Beginner,Synonym of tiny.,Tall,Huge,Long,Small,Small,Balloon,,
F_ENG_L001_Q007,1,Vocabulary : Beginner,Choose the antonym of hot.,Warm,Cold,Soft,Bright,Cold,Balloon,,
F_ENG_L001_Q008,1,Vocabulary : Beginner,Choose the antonym of tall.,High,Long,Wide,Short,Short,Balloon,,
F_ENG_L001_Q009,1,Vocabulary : Beginner,Choose the antonym of clean.,Clear,Dirty,White,Fresh,Dirty,Balloon,,
F_ENG_L001_Q010,1,Vocabulary : Beginner,Choose the antonym of open.,Wide,Loose,Close,Start,Close,Balloon,,
F_ENG_L002_Q011,2,Vocabulary : Beginner,Which word means a young dog?,Kitten,Calf,Foal,Puppy,Puppy,MCQ,,
F_ENG_L002_Q012,2,Vocabulary : Beginner,Which word means a house for birds?,Nest,Hole,Tent,Hut,Nest,MCQ,,
F_ENG_L002_Q013,2,Vocabulary : Beginner,Which word means a place to learn?,Station,Hospital,School,Market,School,MCQ,,
F_ENG_L002_Q014,2,Vocabulary : Beginner,Which word means a person who teaches?,Driver,Doctor,Farmer,Teacher,Teacher,MCQ,,
F_ENG_L002_Q015,2,Vocabulary : Beginner,What do we call a person who writes books?,Author,Pilot,Chef,Nurse,Author,MCQ,,
F_ENG_L002_Q016,2,Vocabulary : Beginner,Which word means food eaten in the morning?,Dinner,Lunch,Supper,Breakfast,Breakfast,MCQ,,
F_ENG_L002_Q017,2,Vocabulary : Beginner,Which word means water falling from clouds?,Snow,Dust,Rain,Wind,Rain,MCQ,,
F_ENG_L002_Q018,2,Vocabulary : Beginner,Which word means a baby cat?,Lamb,Chick,Kitten,Puppy,Kitten,MCQ,,
F_ENG_L002_Q019,2,Vocabulary : Beginner,Which word means the color of grass?,Blue,Green,Red,Black,Green,MCQ,,
F_ENG_L002_Q020,2,Vocabulary : Beginner,Match the synonyms.,,,,,,Match,"[{""left"":""Begin"",""right"":""Start""},{""left"":""End"",""right"":""Finish""},{""left"":""Smart"",""right"":""Clever""},{""left"":""Beautiful"",""right"":""Pretty""}]",
F_ENG_L003_Q021,3,Vocabulary : Beginner,Choose the correct meaning of brave.,Courageous,Weak,Scared,Lazy,Courageous,MCQ,,
