id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
F_BAN_L001_Q001,1,National Symbols,What does the national flag of Bangladesh look like?,Blue with white star,Red with yellow moon,Green with red circle,White with green stripe,Green with red circle,MCQ,,,Free
F_BAN_L001_Q002,1,National Symbols,What color is the background of the Bangladesh flag?,Yellow,Green,White,Blue,Green,MCQ,,,Free
F_BAN_L001_Q003,1,National Symbols,What color is the circle on the Bangladesh flag?,Red,Black,White,Blue,Red,MCQ,,,Free
F_BAN_L001_Q004,1,National Symbols,What does the red circle on the flag remind us of?,Book only,Mountain only,Sun and sacrifice,River only,Sun and sacrifice,MCQ,,,Free
F_BAN_L001_Q005,1,National Symbols,What is the national anthem of Bangladesh?,Amar Sonar Bangla,Auld Lang Syne,Jana Gana Mana,God Save the King,Amar Sonar Bangla,MCQ,,,Free
F_BAN_L001_Q006,1,National Symbols,Who wrote the national anthem of Bangladesh?,Begum Rokeya,Kazi Nazrul Islam,Rabindranath Tagore,Jasimuddin,Rabindranath Tagore,MCQ,,,Free
F_BAN_L001_Q007,1,National Symbols,What is the national flower of Bangladesh?,Tulip,Sunflower,Water Lily,Rose,Water Lily,MCQ,,,Free
F_BAN_L001_Q008,1,National Symbols,What is the national animal of Bangladesh?,Royal Bengal Tiger,Lion,Deer,Elephant,Royal Bengal Tiger,MCQ,,,Free
F_BAN_L001_Q009,1,National Symbols,What is the national bird of Bangladesh?,Magpie Robin,Parrot,Crow,Eagle,Magpie Robin,MCQ,,,Free
F_BAN_L001_Q010,1,National Symbols,What is the national fruit of Bangladesh?,Jackfruit,Banana,Lychee,Mango,Jackfruit,MCQ,,,Free
F_BAN_L002_Q011,2,National Symbols,What is the national tree of Bangladesh?,Coconut Tree,Mango Tree,Banyan Tree,Neem Tree,Banyan Tree,MCQ,,,Free
F_BAN_L002_Q012,2,National Symbols,What is the national fish of Bangladesh?,Tuna,Rui,Katla,Hilsa,Hilsa,MCQ,,,Free
F_BAN_L002_Q013,2,National Symbols,What is the national game of Bangladesh?,Cricket,Hockey,Football,Kabaddi,Kabaddi,MCQ,,,Free
F_BAN_L002_Q014,2,National Symbols,What is the national mosque of Bangladesh?,Sixty Dome Mosque,Star Mosque,Shahi Mosque,Baitul Mukarram,Baitul Mukarram,MCQ,,,Free
F_BAN_L002_Q015,2,National Symbols,What is the national memorial of Bangladesh?,Ahsan Manzil,Curzon Hall,National Martyrs Memorial,Lalbagh Fort,National Martyrs Memorial,MCQ,,,Free
F_BAN_L002_Q016,2,National Symbols,Where is the National Martyrs Memorial located?,Sylhet,Rajshahi,Khulna,Savar,Savar,MCQ,,,Free
F_BAN_L002_Q017,2,National Symbols,What bird is Magpie Robin also called in Bangladesh?,Doel,Moyna,Shalik,Kokil,Doel,MCQ,,,Free
F_BAN_L002_Q018,2,National Symbols,Which flower grows in water and is the national flower of Bangladesh?,Jasmine,Water Lily,Marigold,Rose,Water Lily,MCQ,,,Free
F_BAN_L002_Q019,2,National Symbols,Which tiger is the national animal of Bangladesh?,Royal Bengal Tiger,African Tiger,Siberian Tiger,White Tiger,Royal Bengal Tiger,MCQ,,,Free
F_BAN_L002_Q020,2,National Symbols,Which large fruit is the national fruit of Bangladesh?,Orange,Jackfruit,Cherry,Grape,Jackfruit,MCQ,,,Free
F_BAN_L003_Q021,3,National Symbols,Which color on the flag stands for greenery?,Blue,Green,Black,Purple,Green,MCQ,,,Pro
F_BAN_L003_Q022,3,National Symbols,"""Amar Sonar Bangla"" is the ________.",March Song,Lullaby,Folk Song,National Anthem,National Anthem,MCQ,,,Pro
F_BAN_L003_Q023,3,National Symbols,Which fish is famous and national fish of Bangladesh?,Tilapia,Hilsa,Shark,Salmon,Hilsa,MCQ,,,Pro
F_BAN_L003_Q024,3,National Symbols,Which is the national game of Bangladesh?,Rugby,Golf,Tennis,Kabaddi,Kabaddi,MCQ,,,Pro
F_BAN_L003_Q025,3,National Symbols,Which symbol reminds people of freedom fighters?,National Martyrs Memorial,Bridge,Market,Stadium,National Martyrs Memorial,MCQ,,,Pro
F_BAN_L003_Q026,3,National Symbols,Which country does the national flag belong to?,Pakistan,India,Nepal,Bangladesh,Bangladesh,MCQ,bangladesh_flag.png,,Pro
F_BAN_L003_Q027,3,National Symbols,How many colors are on the Bangladesh flag?,Three,One,Two,Four,Two,MCQ,,,Pro
F_BAN_L003_Q028,3,National Symbols,What shape is the red part of the Bangladesh flag?,Star,Square,Triangle,Circle,Circle,MCQ,,,Pro
F_BAN_L003_Q029,3,National Symbols,Which national symbol is a song?,National Tree,National Animal,National Flower,National Anthem,National Anthem,MCQ,,,Pro
F_BAN_L003_Q030,3,National Symbols,Which national symbol is a bird?,Hilsa,Royal Bengal Tiger,Banyan Tree,Magpie Robin (Doel),Magpie Robin (Doel),MCQ,,,Pro
F_BAN_L004_Q031,4,National Symbols,Which national symbol is found in rivers?,Hilsa,Water Lily,Royal Bengal Tiger,Jackfruit,Hilsa,MCQ,,,Pro
F_BAN_L004_Q032,4,National Symbols,Which national symbol provides shade with its large branches?,Coconut,Bamboo,Banyan Tree,Rose,Banyan Tree,MCQ,,,Pro
F_BAN_L004_Q033,4,National Symbols,Which national symbol blooms in ponds and lakes?,Orchid,Rose,Sunflower,Water Lily,Water Lily,MCQ,,,Pro
F_BAN_L004_Q034,4,National Symbols,Which national symbol is famous for its sweet taste?,Stone,Cotton,Bamboo,Jackfruit,Jackfruit,MCQ,,,Pro
F_BAN_L004_Q035,4,National Symbols,Which national animal lives in the Sundarbans?,Royal Bengal Tiger,Fox,Elephant,Deer,Royal Bengal Tiger,MCQ,,,Pro
F_BAN_L004_Q036,4,National Symbols,Which national symbol is sung on special national occasions?,National Tree,National Anthem,National Flower,National Fish,National Anthem,MCQ,,,Pro
F_BAN_L004_Q037,4,National Symbols,Which national symbol is mostly green?,National Flag,National Bird,National Fish,National Fruit,National Flag,MCQ,,,Pro
F_BAN_L004_Q038,4,National Symbols,"Which national fruit has a rough, spiky skin?",Banana,Mango,Jackfruit,Apple,Jackfruit,MCQ,,,Pro
F_BAN_L004_Q039,4,National Symbols,Which national symbol is commonly called Doel?,Eagle,Dove,Magpie Robin,Sparrow,Magpie Robin,MCQ,,,Pro
F_BAN_L004_Q040,4,National Symbols,Which national symbol is a flower that grows in freshwater?,Water Lily,Daisy,Rose,Tulip,Water Lily,MCQ,,,Pro
F_BAN_L005_Q041,5,National Symbols,Which national symbol is a place to honor the martyrs?,Parliament,Library,Museum,National Martyrs Memorial,National Martyrs Memorial,MCQ,,,Pro
