id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_SCI_L001_Q001,1,Living & Non-Living,A bird is a...,Living thing,Non-living thing,,,Living thing,MCQ,,
F_SCI_L001_Q002,1,Living & Non-Living,A bicycle is...,Living thing,Non-living thing,,,Non-living thing,MCQ,,
F_SCI_L001_Q003,1,Living & Non-Living,A tree is a _____ thing.,Living thing,Non-living thing,,,Living thing,MCQ,,
F_SCI_L001_Q004,1,Living & Non-Living,A rock is a _____ thing.,Living thing,Non-living thing,,,Non-living thing,MCQ,,
F_SCI_L001_Q005,1,Living & Non-Living,Living things need _____ to live.,Stone,Water,,,Water,MCQ,,
F_SCI_L001_Q006,1,Living & Non-Living,A fish is a _____ thing.,Living thing,Non-living thing,,,Living thing,MCQ,,
F_SCI_L001_Q007,1,Living & Non-Living,A chair can grow. ,TRUE,FALSE,,,FALSE,MCQ,,
F_SCI_L001_Q008,1,Living & Non-Living,A baby grows into an adult. ,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L001_Q009,1,Living & Non-Living,Which of these is a living thing?,Book,Rock,Chair,Dog,Dog,MCQ,,
F_SCI_L001_Q010,1,Living & Non-Living,Match the object with its type,,,,,,Match,"[{""left"":""Dog"",""right"":""Living""},{""left"":""Chair"",""right"":""Non-living""},{""left"":""Flower"",""right"":""Plant""}]",
F_SCI_L002_Q011,2,Living & Non-Living,Living things can...,Grow,Never change,Sleep forever,Disappear,Grow,Balloon,,
F_SCI_L002_Q012,2,Living & Non-Living,Non-living things do not...,Have shape,Have color,Grow,Take up space,Grow,Balloon,,
F_SCI_L002_Q013,2,Living & Non-Living,Which one is a plant?,Pencil,Rose,Car,Shoe,Rose,Balloon,,
F_SCI_L002_Q014,2,Living & Non-Living,Which one is an animal?,Bus,Cat,Clock,Ball,Cat,Balloon,,
F_SCI_L002_Q015,2,Living & Non-Living,Which of these is non-living?,Stone,Flower,Cow,Butterfly,Stone,Balloon,,
F_SCI_L002_Q016,2,Living & Non-Living,Which one needs food to live?,Rabbit,Cup,Eraser,Desk,Rabbit,Balloon,,
F_SCI_L002_Q017,2,Living & Non-Living,Which one can grow?,Rock,Mango tree,Box,Chair,Mango tree,Balloon,,
F_SCI_L002_Q018,2,Living & Non-Living,Which one can have babies?,Hen,Book,Spoon,Bottle,Hen,Balloon,,
F_SCI_L002_Q019,2,Living & Non-Living,Which one does not need water?,Grass,Toy car,Fish,Cow,Toy car,Balloon,,
F_SCI_L002_Q020,2,Living & Non-Living,Match the living thing with what it does,,,,,,Match,"[{""left"":""Bird"",""right"":""Flies""},{""left"":""Fish"",""right"":""Swims""},{""left"":""Tree"",""right"":""Grows""},{""left"":""Horse"",""right"":""Breathes""}]",
F_SCI_L003_Q021,3,Plants,,,,,,,Lesson,Science/plant.md,
F_SCI_L003_Q022,3,Plants,Which part of a plant grows under the ground?,Leaf,Stem,Flower,Root,Root,MCQ,,
F_SCI_L003_Q023,3,Plants,Which part of a plant makes food?,Leaf,Root,,,Leaf,MCQ,,
F_SCI_L003_Q024,3,Plants,The stem holds the plant upright.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L003_Q025,3,Plants,Do roots absorb water from the soil?,Yes,No,,,Yes,MCQ,,
F_SCI_L003_Q026,3,Plants,Which part grows into a fruit?,Flower,Leaf,Root,,Flower,MCQ,,
